707,247,751,234,756,251,712,264
667,260,707,248,711,264,671,275
671,224,747,197,754,220,678,246
928,169,983,154,988,171,933,186
922,46,995,17,1000,31,927,60
824,205,867,193,871,209,828,221
876,68,919,49,925,63,882,82
782,236,824,225,828,238,786,250
954,126,1017,105,1023,122,959,143
765,121,817,91,824,102,771,132
812,125,862,102,867,114,818,136
808,177,924,140,929,156,813,193
913,100,989,73,994,88,919,115
1015,105,1086,75,1094,94,1023,124
772,191,811,178,816,191,777,204
780,218,822,207,826,222,784,232
774,205,818,186,824,199,780,219
1030,484,1100,445,1133,504,1063,543
780,227,824,213,829,230,786,244
