94,116,205,126,201,165,90,155
95,378,184,365,186,380,97,393
100,449,156,440,159,456,102,465
136,223,191,222,191,238,136,238
91,187,177,190,177,205,91,202
211,124,324,138,319,171,207,157
167,334,234,327,235,343,168,349
296,369,370,358,372,372,298,384
137,268,182,265,183,279,138,282
93,342,168,334,169,349,95,357
130,475,213,461,216,476,133,491
94,74,184,86,179,125,89,113
92,305,137,303,138,316,93,318
227,89,369,105,365,140,223,124
95,416,138,406,141,421,98,430
165,300,224,296,225,310,166,315
92,269,139,267,139,281,93,283
88,225,133,222,134,237,89,240
101,531,149,520,153,535,105,547
98,497,139,489,142,502,101,510
325,137,359,136,360,166,326,167
284,403,342,394,344,407,286,416
340,393,372,387,375,400,342,406
257,334,311,326,313,340,259,347
89,256,162,255,162,268,89,269
151,408,192,399,195,412,154,422
184,265,224,262,225,277,185,280
595,213,666,206,668,223,596,230
