207,312,261,311,262,327,207,329
217,269,276,268,276,282,218,284
253,186,299,187,299,201,253,200
229,226,266,227,266,243,228,242
263,245,339,241,340,256,263,260
226,286,275,284,275,298,227,300
212,187,251,186,252,202,212,203
760,93,873,29,897,71,784,136
263,228,330,222,332,239,265,246
19,0,154,57,134,89,0,4
262,309,305,307,305,323,262,325
120,313,142,302,152,322,130,333
278,284,316,284,317,297,278,297
92,318,113,304,126,324,104,338
303,184,343,186,342,200,303,198
222,244,261,246,260,260,222,258
148,306,170,299,177,320,155,327
222,206,251,204,252,218,222,220
252,203,345,204,344,216,251,215
281,265,329,265,329,281,281,281
49,259,81,270,77,284,44,273
