52,71,135,76,133,95,51,90
310,55,403,67,400,92,307,80
805,204,873,207,872,228,804,225
106,118,153,119,153,134,105,133
304,118,412,127,411,143,303,134
214,102,256,108,254,124,211,118
123,40,174,45,171,74,121,69
152,118,210,122,209,137,151,133
176,43,225,50,221,78,172,71
43,97,68,98,67,113,42,111
148,101,210,103,210,118,148,116
0,70,48,73,46,90,0,86
55,24,113,35,106,72,48,61
72,96,148,103,147,118,71,111
110,238,129,239,128,249,109,248
75,117,104,114,106,131,76,134
0,94,35,98,33,112,0,108
2,115,50,114,50,129,2,129
1,36,45,38,43,71,0,69
764,205,805,204,805,228,765,229
1191,597,1182,486,1216,483,1225,594
319,84,383,89,382,105,318,100
