907,85,959,75,965,103,913,113
750,242,801,238,803,261,752,264
702,318,795,310,796,327,704,335
1079,123,1149,113,1153,141,1083,150
681,248,731,243,733,266,683,271
647,84,679,82,680,96,648,99
738,46,792,52,790,70,736,65
685,336,806,329,807,345,686,353
1095,22,1220,0,1235,27,1109,68
684,49,737,48,737,66,684,67
741,163,800,163,800,190,741,190
681,80,725,81,725,97,681,96
672,166,744,166,744,192,672,192
717,98,765,97,766,113,717,114
725,81,769,81,769,97,725,96
1104,152,1152,138,1158,158,1110,172
1098,98,1161,86,1165,108,1102,120
772,82,802,84,801,98,771,96
