939,162,996,162,996,186,939,186
165,449,214,451,213,467,164,465
151,257,205,254,206,270,151,273
167,349,203,353,201,371,165,367
323,135,378,129,380,142,325,149
1016,113,1044,109,1045,122,1018,126
224,139,317,130,320,151,226,161
380,127,408,124,410,139,382,142
1211,90,1241,88,1242,101,1212,104
412,123,432,123,432,135,412,135
1000,127,1021,125,1023,138,1002,141
1007,141,1059,135,1060,144,1008,150
1023,124,1061,120,1063,131,1024,135
1244,87,1263,86,1264,98,1245,99
433,122,461,119,463,130,434,134
462,117,490,113,492,128,463,131
1191,90,1211,89,1212,104,1191,105
1263,85,1279,81,1279,95,1266,98
190,153,211,149,214,162,192,166
